epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,21847.5,0.77957,0.89921,1.12254,0.87426,0.85263,0.91472,0.71549,0.83305,0.63782,1.30152,0.0004984,0.0004984,0.0004984
78,22081.1,0.78237,0.91214,1.11631,0.8802,0.8501,0.91575,0.71356,0.84305,0.69999,1.27706,0.0004918,0.0004918,0.0004918
79,22315.8,0.77819,0.91355,1.12354,0.87015,0.86444,0.91597,0.71049,0.83488,0.67338,1.31096,0.0004852,0.0004852,0.0004852
80,22561.7,0.77217,0.89579,1.12284,0.88194,0.86511,0.91952,0.72401,0.81883,0.70493,1.2833,0.0004786,0.0004786,0.0004786
81,22803.8,0.77804,0.90733,1.1247,0.86612,0.85762,0.91804,0.71937,0.81181,0.73241,1.26784,0.000472,0.000472,0.000472
82,23036.9,0.77891,0.9113,1.12014,0.86745,0.87973,0.91882,0.71994,0.83766,0.64502,1.2668,0.0004654,0.0004654,0.0004654
83,23263.1,0.76809,0.89645,1.11139,0.89195,0.86815,0.92403,0.73221,0.81421,0.62227,1.28035,0.0004588,0.0004588,0.0004588
84,23487,0.76917,0.89524,1.11123,0.86803,0.893,0.91896,0.72575,0.80163,0.65853,1.25918,0.0004522,0.0004522,0.0004522
85,23826.4,0.77157,0.89451,1.11608,0.88316,0.8722,0.92174,0.72563,0.81511,0.62611,1.25789,0.0004456,0.0004456,0.0004456
86,24065.4,0.75655,0.87128,1.11102,0.89497,0.87695,0.92354,0.72468,0.81451,0.5968,1.28929,0.000439,0.000439,0.000439
87,24354.2,0.74753,0.85746,1.10465,0.84641,0.90222,0.92112,0.72002,0.82948,0.60396,1.28651,0.0004324,0.0004324,0.0004324
88,24611.8,0.74594,0.86507,1.09914,0.884,0.85047,0.91047,0.71341,0.8191,0.62718,1.27734,0.0004258,0.0004258,0.0004258
89,24873.8,0.75368,0.86585,1.10546,0.88376,0.86079,0.91563,0.72017,0.82299,0.66582,1.28148,0.0004192,0.0004192,0.0004192
90,25101.1,0.74827,0.85455,1.10168,0.86748,0.88619,0.9097,0.71377,0.81579,0.69075,1.28211,0.0004126,0.0004126,0.0004126
91,25332.5,0.74263,0.84839,1.10022,0.87979,0.88264,0.92284,0.73594,0.79802,0.66772,1.24976,0.000406,0.000406,0.000406
92,25570.5,0.71867,0.82658,1.08885,0.88493,0.86468,0.92052,0.73122,0.80576,0.68015,1.28887,0.0003994,0.0003994,0.0003994
93,25799.9,0.73739,0.84227,1.09008,0.89134,0.86268,0.92751,0.73662,0.80032,0.60372,1.26677,0.0003928,0.0003928,0.0003928
94,26047.2,0.72742,0.84705,1.10166,0.89636,0.87187,0.93223,0.74517,0.80092,0.6273,1.25464,0.0003862,0.0003862,0.0003862
95,26284.4,0.72799,0.82929,1.09256,0.89361,0.89171,0.93019,0.74124,0.79815,0.62736,1.25509,0.0003796,0.0003796,0.0003796
96,26534.5,0.70865,0.80823,1.07468,0.88765,0.88957,0.9294,0.7433,0.8004,0.59673,1.25979,0.000373,0.000373,0.000373
97,26772.9,0.71055,0.81396,1.07895,0.89946,0.87675,0.92922,0.74168,0.77622,0.57142,1.23433,0.0003664,0.0003664,0.0003664
98,27019.3,0.71759,0.81785,1.08223,0.89222,0.90643,0.9337,0.75173,0.78588,0.60918,1.22238,0.0003598,0.0003598,0.0003598
99,27253.3,0.70653,0.80088,1.0739,0.8796,0.90342,0.93113,0.74628,0.79519,0.6107,1.23763,0.0003532,0.0003532,0.0003532
