epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,149.779,0.50206,0.5913,0.87029,0.99433,1,0.995,0.81178,0.71111,0.49178,0.90894,0.000169908,0.000169908,0.000169908
91,159.677,0.48267,0.85132,0.83567,0.99487,1,0.995,0.81232,0.70958,0.49611,0.90732,0.000155761,0.000155761,0.000155761
92,161.044,0.45904,0.79268,0.84017,0.99455,1,0.995,0.81334,0.70622,0.49607,0.90417,0.000141614,0.000141614,0.000141614
93,162.406,0.46917,0.75352,0.86743,0.99236,1,0.995,0.81427,0.71238,0.50411,0.90486,0.000127467,0.000127467,0.000127467
94,163.754,0.44073,0.72034,0.82404,0.98947,1,0.995,0.81473,0.71304,0.50951,0.90398,0.00011332,0.00011332,0.00011332
95,165.119,0.41304,0.67439,0.84134,0.98685,1,0.995,0.81853,0.70697,0.51497,0.90183,9.91726e-05,9.91726e-05,9.91726e-05
96,166.526,0.4293,0.76487,0.8151,0.98422,1,0.995,0.81854,0.70327,0.51494,0.89951,8.50255e-05,8.50255e-05,8.50255e-05
97,167.852,0.45517,0.74223,0.85059,0.98208,1,0.995,0.81626,0.69757,0.51353,0.89838,7.08784e-05,7.08784e-05,7.08784e-05
98,169.197,0.41771,0.71341,0.81048,0.98164,1,0.995,0.81854,0.69765,0.50938,0.89856,5.67313e-05,5.67313e-05,5.67313e-05
99,170.52,0.40665,0.68098,0.81236,0.98204,1,0.995,0.8195,0.6951,0.50704,0.89883,4.25842e-05,4.25842e-05,4.25842e-05
100,171.897,0.39906,0.6834,0.79783,0.98286,1,0.995,0.82544,0.69285,0.5027,0.89871,2.84371e-05,2.84371e-05,2.84371e-05
